DATES,region,total_cases,border_cases,SUM_EVENTS,EVENT,distance,border_ev,border_region,prob_3,expected_3
1997-07,Folon,0,0,0,0,0,0,1,0.014014325755221152,0
1997-07,Kabadougou,0,0,0,0,22.642,0,1,0.014014325755221152,0
1997-07,Goh,0,0,0,0,343.46,0,0,0.03800813008130058,0
1997-07,Loh-Djiboua,0,0,0,0,382.212,0,0,0.03800813008130058,0
1997-07,Belier,0,0,0,0,226.364,0,0,0.03800813008130058,0
1997-07,Iffou,0,0,0,0,174.449,0,1,0.014014325755221152,0
1997-07,Moronou,0,0,0,0,288.923,0,0,0.03800813008130058,0
1997-07,Nzi,0,0,0,0,235.966,0,0,0.03800813008130058,0
1997-07,Agneby-Tiassa,0,0,0,0,366.188,0,0,0.03800813008130058,0
1997-07,Grands Ponts,0,0,0,0,422.537,0,0,0.03800813008130058,0
1997-07,La Me,0,0,0,0,320.907,0,0,0.03800813008130058,0
1997-07,Cavally,0,0,0,0,354.354,0,0,0.03800813008130058,0
1997-07,Guemon,0,0,0,0,269.782,0,0,0.03800813008130058,0
1997-07,Tonkpi,0,0,0,0,225.861,0,0,0.03800813008130058,0
1997-07,Haut-Sassandra,0,0,0,0,260.452,0,0,0.03800813008130058,0
1997-07,Marahoue,0,0,0,0,241.387,0,0,0.03800813008130058,0
1997-07,Bagoue,0,0,0,0,0,0,1,0.014014325755221152,0
1997-07,Poro,0,0,0,0,0,0,1,0.014014325755221152,0
1997-07,Tchologo,0,0,0,0,0,0,1,0.014014325755221152,0
1997-07,Gbeke,0,0,0,0,174.775,0,1,0.014014325755221152,0
1997-07,Hambol,0,0,0,0,52.608,0,1,0.014014325755221152,0
1997-07,Bafing,0,0,0,0,120.93,0,1,0.014014325755221152,0
1997-07,Bere,0,0,0,0,111.412,0,1,0.014014325755221152,0
1997-07,Worodougou,0,0,0,0,120.76,0,1,0.014014325755221152,0
1997-07,Yamoussoukro,0,0,0,0,291.49,0,0,0.03800813008130058,0
1997-07,Bounkani,0,0,0,0,0,0,1,0.014014325755221152,0
1997-07,Gontougo,0,0,0,0,70.437,0,1,0.014014325755221152,0
1997-08,Abidjan,0,0,0,0,435.86,0,0,0.03800813008130058,0
1997-08,Gbokle,0,0,0,0,462.565,0,0,0.03800813008130058,0
1997-08,Nawa,0,0,0,0,398.402,0,0,0.03800813008130058,0
1997-08,San-Pedro,0,0,0,0,497.054,0,0,0.03800813008130058,0
1997-08,Indenie-Djuablin,0,0,0,0,235.608,0,0,0.03800813008130058,0
1997-08,Sud Comoe,0,0,0,0,351.809,0,0,0.03800813008130058,0
1997-08,Folon,0,0,0,0,0,0,1,0.014014325755221152,0
1997-08,Kabadougou,0,0,0,0,22.642,0,1,0.014014325755221152,0
1997-08,Goh,0,0,0,0,343.46,0,0,0.03800813008130058,0
1997-08,Loh-Djiboua,0,0,0,0,382.212,0,0,0.03800813008130058,0
1997-08,Belier,0,0,0,0,226.364,0,0,0.03800813008130058,0
1997-08,Iffou,0,0,0,0,174.449,0,1,0.014014325755221152,0
1997-08,Moronou,0,0,0,0,288.923,0,0,0.03800813008130058,0
1997-08,Nzi,0,0,0,0,235.966,0,0,0.03800813008130058,0
1997-08,Agneby-Tiassa,0,0,0,0,366.188,0,0,0.03800813008130058,0
1997-08,Grands Ponts,0,0,0,0,422.537,0,0,0.03800813008130058,0
1997-08,La Me,0,0,0,0,320.907,0,0,0.03800813008130058,0
1997-08,Cavally,0,0,1,1,354.354,0,0,0.03800813008130058,0
1997-08,Guemon,0,0,0,0,269.782,0,0,0.03800813008130058,0
1997-08,Tonkpi,0,0,0,0,225.861,0,0,0.03800813008130058,0
1997-08,Haut-Sassandra,0,0,0,0,260.452,0,0,0.03800813008130058,0
1997-08,Marahoue,0,0,0,0,241.387,0,0,0.03800813008130058,0
1997-08,Bagoue,0,0,0,0,0,0,1,0.014014325755221152,0
1997-08,Poro,0,0,0,0,0,0,1,0.014014325755221152,0
1997-08,Tchologo,0,0,0,0,0,0,1,0.014014325755221152,0
1997-08,Gbeke,0,0,0,0,174.775,0,1,0.014014325755221152,0
1997-08,Hambol,0,0,0,0,52.608,0,1,0.014014325755221152,0
1997-08,Bafing,0,0,0,0,120.93,0,1,0.014014325755221152,0
1997-08,Bere,0,0,0,0,111.412,0,1,0.014014325755221152,0
1997-08,Worodougou,0,0,0,0,120.76,0,1,0.014014325755221152,0
1997-08,Yamoussoukro,0,0,0,0,291.49,0,0,0.03800813008130058,0
1997-08,Bounkani,0,0,0,0,0,0,1,0.014014325755221152,0
1997-08,Gontougo,0,0,0,0,70.437,0,1,0.014014325755221152,0
1997-09,Abidjan,0,0,0,0,435.86,0,0,0.03800813008130058,0
1997-09,Gbokle,0,0,0,0,462.565,0,0,0.03800813008130058,0
1997-09,Nawa,0,0,0,0,398.402,0,0,0.03800813008130058,0
1997-09,San-Pedro,0,0,0,0,497.054,0,0,0.03800813008130058,0
1997-09,Indenie-Djuablin,0,0,0,0,235.608,0,0,0.03800813008130058,0
1997-09,Sud Comoe,0,0,0,0,351.809,0,0,0.03800813008130058,0
1997-09,Folon,0,0,0,0,0,0,1,0.014014325755221152,0
1997-09,Kabadougou,0,0,0,0,22.642,0,1,0.014014325755221152,0
1997-09,Goh,0,0,0,0,343.46,0,0,0.03800813008130058,0
1997-09,Loh-Djiboua,0,0,0,0,382.212,0,0,0.03800813008130058,0
1997-09,Belier,0,0,0,0,226.364,0,0,0.03800813008130058,0
1997-09,Iffou,0,0,0,0,174.449,0,1,0.014014325755221152,0
